sim name,Om,h,w,s8,z,mu_vec,pdf,poisson,mean,var,3th,4th,5th,6th,7th,8th,9th,10th
C001,0.3616,0.771717,-0.8091,0.7788,0.495,[-2.        -1.9979996 -1.9959992 ...  7.9959992  7.9979996  8.       ],[0.         0.         0.         ... 0.00050433 0.00050188 0.00049944],"[0.00000000e+00 0.00000000e+00 0.00000000e+00 ... 5.70081644e-06
 5.68713362e-06 5.67345080e-06]",0.9999980959791049,0.0007853239230010429,0.00022293762911116397,0.00026459552605913306,0.0005959284621596821,0.0017425746120963207,0.005691781605469703,0.01963471442421757,0.0698626121618679,0.2534899881482916
C027,0.2848,0.7575759999999999,-1.0879,0.7,0.4591,[-2.        -1.9979996 -1.9959992 ...  7.9959992  7.9979996  8.       ],[0.         0.         0.         ... 0.00048383 0.00048291 0.00048199],"[0.00000000e+00 0.00000000e+00 0.00000000e+00 ... 4.60200444e-06
 4.59764193e-06 4.59327943e-06]",0.999999893715795,0.00031530562041682506,3.7888372188759285e-05,1.6756250275225945e-05,1.4498451722702049e-05,1.8319859266092536e-05,2.8091911178647144e-05,4.761531590127299e-05,8.521977036108426e-05,0.00015739556007354714
C026,0.3253,0.7111109999999999,-1.2152,0.7162,0.6787,[-2.        -1.9979996 -1.9959992 ...  7.9959992  7.9979996  8.       ],[0.         0.         0.         ... 0.00045321 0.00045399 0.00045477],"[0.00000000e+00 0.00000000e+00 0.00000000e+00 ... 5.86443036e-06
 5.86936675e-06 5.87430313e-06]",0.9999967956612589,0.0011815359304835785,0.00027485956564052803,0.00033640619854170535,0.0009134872067298295,0.003371444374572896,0.013945488670630545,0.06070205525565702,0.2715192781124058,1.234996905303497
C022,0.2687,0.656566,-0.8394,0.7101,1.6926,[-2.        -1.9979996 -1.9959992 ...  7.9959992  7.9979996  8.       ],"[-5.75649479e-05 -4.35180209e-05 -2.94710940e-05 ...  3.64726020e-04
  3.69022054e-04  3.73318087e-04]","[3.49759409e-06 3.55754569e-06 3.61749728e-06 ... 6.93020267e-06
 6.97249663e-06 7.01479060e-06]",0.9999751978023522,0.005575277835036576,0.0021382463959366445,0.003565721613155609,0.009801681082936768,0.033504932771053736,0.12663784509170553,0.5070939812262143,2.1097943365279175,9.025269367011342
C010,0.3313,0.725253,-1.2758,0.8354,3.0348,[-2.        -1.9979996 -1.9959992 ...  7.9959992  7.9979996  8.       ],[0.         0.         0.         ... 0.00038783 0.00037343 0.00035903],"[0.00000000e+00 0.00000000e+00 0.00000000e+00 ... 8.96027311e-06
 8.79508277e-06 8.62989243e-06]",0.9992497593805196,0.03223518295825114,0.025453224297319606,0.05786944993593238,0.17682363910235266,0.6369170503435777,2.4935420370325945,10.260631477542292,43.630971856589284,189.9025763657553
C054,0.3636,0.70101,-1.2636,0.7949,5.8415,[-2.        -1.9979996 -1.9959992 ...  7.9959992  7.9979996  8.       ],[0.         0.         0.         ... 0.00040398 0.00040549 0.00040701],"[0.00000000e+00 0.00000000e+00 0.00000000e+00 ... 9.82014021e-06
 9.83777958e-06 9.85541896e-06]",0.9980286838237414,0.06922377777444409,0.06402649112620254,0.15637691984645066,0.4807443797816691,1.7341295272951711,6.7917800526223315,27.974309626856048,119.13946240499416,519.6176157404125
C018,0.3172,0.729293,-0.7061,0.8152,1.8969,[-2.        -1.9979996 -1.9959992 ...  7.9959992  7.9979996  8.       ],[0.         0.         0.         ... 0.00043485 0.0004286  0.00042236],"[0.00000000e+00 0.00000000e+00 0.00000000e+00 ... 8.52012644e-06
 8.46007919e-06 8.40003195e-06]",0.9997530950120629,0.01271678569850731,0.009040727619919467,0.019745918473114854,0.06115210894937281,0.22300945459420943,0.8832041103806441,3.673552967783156,15.781721144632233,69.36933056349352
C024,0.2808,0.721212,-0.797,0.7141,0.8621,[-2.        -1.9979996 -1.9959992 ...  7.9959992  7.9979996  8.       ],[0.         0.         0.         ... 0.00039381 0.00039053 0.00038726],"[0.00000000e+00 0.00000000e+00 0.00000000e+00 ... 5.72032515e-06
 5.69741281e-06 5.67450048e-06]",0.9999958801907161,0.001488892021588031,0.0004266120952852693,0.0006113057808053489,0.0017234958614626666,0.006330497239892541,0.025974130228025468,0.11269039966690053,0.5050137990858384,2.3107329801875003
C015,0.3515,0.7818179999999999,-1.0455,0.7263,0.2684,[-2.        -1.9979996 -1.9959992 ...  7.9959992  7.9979996  8.       ],[0.         0.         0.         ... 0.00055826 0.00055811 0.00055796],"[0.00000000e+00 0.00000000e+00 0.00000000e+00 ... 4.02192014e-06
 4.02133482e-06 4.02074951e-06]",1.000000178710674,0.00012578422870975577,1.2506139146018945e-05,4.206431888602844e-06,2.732029365392515e-06,2.5359413039239776e-06,2.812826268178347e-06,3.4209710696792115e-06,4.379279520492996e-06,5.780601864500916e-06
C016,0.202,0.636364,-0.9182,0.8192,2.855,[-2.        -1.9979996 -1.9959992 ...  7.9959992  7.9979996  8.       ],[0.005474   0.0055362  0.00559839 ... 0.0002503  0.00025426 0.00025822],"[3.99302131e-05 4.01498389e-05 4.03694648e-05 ... 5.98983322e-06
 6.03935438e-06 6.08887554e-06]",0.9999889665692498,0.007355267791760258,0.0016593450726367716,0.0020893120156130506,0.0047290606281114025,0.014836210008880527,0.053549491663848474,0.20902173307678373,0.8583911681673252,3.6548005055391424
